"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02276V02746","Domestic","C02599V03153","Reason for Journey","UNIT","VALUE"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","01","Domestic","01","Holiday","Thousand","536"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","01","Domestic","02","Business","Thousand","167"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","01","Domestic","03","Visiting friends/relatives","Thousand","568"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","01","Domestic","08","Other reasons","Thousand","175"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","02","Outbound","-","All reasons for journey","Thousand","954"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","02","Outbound","01","Holiday","Thousand","533"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","02","Outbound","02","Business","Thousand","147"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","02","Outbound","03","Visiting friends/relatives","Thousand","193"
"HTQ01C1","Number of Trips by Irish Residents","2003Q1","2003Q1","02","Outbound","08","Other reasons","Thousand","81"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","01","Domestic","-","All reasons for journey","Thousand","1509"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","01","Domestic","01","Holiday","Thousand","657"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","01","Domestic","02","Business","Thousand","136"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","01","Domestic","03","Visiting friends/relatives","Thousand","498"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","01","Domestic","08","Other reasons","Thousand","219"
"HTQ01C1","Number of Trips by Irish Residents","2003Q2","2003Q2","02","Outbound","-","All reasons for journey","Thousand","1330"
