"STATISTIC","Statistic Label","TLIST(Q1)","Quarter","C02599V03153","Reason for Journey","C02196V04140","Region Visited","UNIT","VALUE"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE05","Southern","Thousand","122"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE051","Mid-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE052","South-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE053","South-West","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE06","Eastern and Midland","Thousand","124"
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE061","Dublin","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE062","Mid-East","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20184","2018Q4","08","Other reasons","IE063","Midland","Thousand",""
"HTQ17C01","Number of Trips by Irish Residents","20191","2019Q1","-","All reasons for journey","-","State","Thousand","2223"
"HTQ17C01","Number of Trips by Irish Residents","20191","2019Q1","-","All reasons for journey","IE04","Northern and Western","Thousand","568"
